model,layer,pool,iso,probe,macro_f1,accuracy,balanced_accuracy,baseline,n_classes,n_samples
xlm-roberta-base,0,char,0,radical,0.3514425465127291,0.4249941246036465,0.32269800957588674,0.06454170631144941,68,6306
xlm-roberta-base,0,char,0,semantic_field,0.5669159958815131,0.6202749140893471,0.5863218390804599,0.06016597510373444,29,482
xlm-roberta-base,0,char,1,radical,0.3508603004534271,0.42800697758300654,0.32401003119340716,0.06454170631144941,68,6306
xlm-roberta-base,0,char,1,semantic_field,0.5665522600005358,0.6243556701030928,0.5867816091954022,0.06016597510373444,29,482
xlm-roberta-base,0,mean,0,radical,0.35262026556009884,0.4265801674268027,0.32343938269838984,0.06454170631144941,68,6306
xlm-roberta-base,0,mean,0,semantic_field,0.5714192895227378,0.6223582474226803,0.5883908045977011,0.06016597510373444,29,482
xlm-roberta-base,0,mean,1,radical,0.3507670766198751,0.4259463786821769,0.3237284487247517,0.06454170631144941,68,6306
xlm-roberta-base,0,mean,1,semantic_field,0.553825982446672,0.6160438144329896,0.5732183908045977,0.06016597510373444,29,482
xlm-roberta-base,3,char,0,radical,0.30255065518114577,0.38027475489857243,0.27773930478026077,0.06454170631144941,68,6306
xlm-roberta-base,3,char,0,semantic_field,0.5141003823762443,0.5495919243986254,0.5289655172413793,0.06016597510373444,29,482
xlm-roberta-base,3,char,1,radical,0.3062599405673873,0.3832871051702231,0.2809513404556287,0.06454170631144941,68,6306
xlm-roberta-base,3,char,1,semantic_field,0.5144384058582843,0.5517396907216494,0.5251724137931035,0.06016597510373444,29,482
xlm-roberta-base,3,mean,0,radical,0.29093312851020187,0.37773733773537715,0.2704667119515697,0.06454170631144941,68,6306
xlm-roberta-base,3,mean,0,semantic_field,0.5067147250813313,0.5391752577319588,0.5194252873563219,0.06016597510373444,29,482
xlm-roberta-base,3,mean,1,radical,0.28924455153192363,0.3752011773414554,0.26755946681981974,0.06454170631144941,68,6306
xlm-roberta-base,3,mean,1,semantic_field,0.4900815468056847,0.5330111683848797,0.5024137931034482,0.06016597510373444,29,482
xlm-roberta-base,6,char,0,radical,0.235028800732078,0.3241370079591198,0.22042789096894796,0.06454170631144941,68,6306
xlm-roberta-base,6,char,0,semantic_field,0.38876301859060475,0.43990549828178693,0.4080459770114942,0.06016597510373444,29,482
xlm-roberta-base,6,char,1,radical,0.2302348959771298,0.31874483939117065,0.2165878601790047,0.06454170631144941,68,6306
xlm-roberta-base,6,char,1,semantic_field,0.4123386957869716,0.4564218213058419,0.42264367816091947,0.06016597510373444,29,482
xlm-roberta-base,6,mean,0,radical,0.22831516507291344,0.32128275926207533,0.21456610789743608,0.06454170631144941,68,6306
xlm-roberta-base,6,mean,0,semantic_field,0.383816397710921,0.43573883161512034,0.4024137931034482,0.06016597510373444,29,482
xlm-roberta-base,6,mean,1,radical,0.22739051236471966,0.3187468502220083,0.21336931875273812,0.06454170631144941,68,6306
xlm-roberta-base,6,mean,1,semantic_field,0.401845916085267,0.44813144329896903,0.4158620689655172,0.06016597510373444,29,482
xlm-roberta-base,9,char,0,radical,0.21025524865048945,0.3003525237812166,0.1984304251833872,0.06454170631144941,68,6306
xlm-roberta-base,9,char,0,semantic_field,0.39105172907350766,0.4355884879725086,0.41114942528735626,0.06016597510373444,29,482
xlm-roberta-base,9,char,1,radical,0.20991476711207474,0.29908230707649075,0.1986159975825587,0.06454170631144941,68,6306
xlm-roberta-base,9,char,1,semantic_field,0.39625678995808167,0.4376073883161512,0.4097701149425287,0.06016597510373444,29,482
xlm-roberta-base,9,mean,0,radical,0.21262345331537094,0.3009866895566244,0.19974105946231366,0.06454170631144941,68,6306
xlm-roberta-base,9,mean,0,semantic_field,0.39319968289542323,0.43348367697594503,0.4045977011494252,0.06016597510373444,29,482
xlm-roberta-base,9,mean,1,radical,0.20730770395595602,0.2951189594955831,0.19520411945416424,0.06454170631144941,68,6306
xlm-roberta-base,9,mean,1,semantic_field,0.38703857445236756,0.43560996563573884,0.4097701149425287,0.06016597510373444,29,482
xlm-roberta-base,12,char,0,radical,0.1773589015496936,0.26324226364254466,0.16960448073324616,0.06454170631144941,68,6306
xlm-roberta-base,12,char,0,semantic_field,0.3346326256569664,0.37540807560137457,0.34735632183908044,0.06016597510373444,29,482
xlm-roberta-base,12,char,1,radical,0.17045767912458493,0.25689859505762913,0.1639214442962539,0.06454170631144941,68,6306
xlm-roberta-base,12,char,1,semantic_field,0.3493069574104057,0.39415807560137456,0.35827586206896556,0.06016597510373444,29,482
xlm-roberta-base,12,mean,0,radical,0.17203703514745303,0.2599132075139722,0.16646898984647268,0.06454170631144941,68,6306
xlm-roberta-base,12,mean,0,semantic_field,0.319843949154294,0.3651202749140893,0.33,0.06016597510373444,29,482
xlm-roberta-base,12,mean,1,radical,0.16965009770400158,0.2564231592414643,0.16341151428970993,0.06454170631144941,68,6306
xlm-roberta-base,12,mean,1,semantic_field,0.33860511136373206,0.3963487972508591,0.3549425287356322,0.06016597510373444,29,482
bert-base-multilingual-cased,0,char,0,radical,0.4400627604246507,0.49096332621583,0.3924019492992413,0.06454170631144941,68,6306
bert-base-multilingual-cased,0,char,0,semantic_field,0.6326943892258294,0.6741838487972508,0.6450574712643677,0.06016597510373444,29,482
bert-base-multilingual-cased,0,char,1,radical,0.43565559594630016,0.4852542004371044,0.3824881536536056,0.06454170631144941,68,6306
bert-base-multilingual-cased,0,char,1,semantic_field,0.584377560685877,0.638831615120275,0.6037931034482759,0.06016597510373444,29,482
bert-base-multilingual-cased,0,mean,0,radical,0.43720088079194613,0.49001232890657304,0.39041360831797955,0.06454170631144941,68,6306
bert-base-multilingual-cased,0,mean,0,semantic_field,0.6324535572608595,0.6741838487972508,0.645632183908046,0.06016597510373444,29,482
bert-base-multilingual-cased,0,mean,1,radical,0.43565559594630016,0.4852542004371044,0.3824881536536056,0.06454170631144941,68,6306
bert-base-multilingual-cased,0,mean,1,semantic_field,0.584377560685877,0.638831615120275,0.6037931034482759,0.06016597510373444,29,482
bert-base-multilingual-cased,3,char,0,radical,0.4100354429054579,0.46146670001294476,0.3678870610439266,0.06454170631144941,68,6306
bert-base-multilingual-cased,3,char,0,semantic_field,0.5772707752018096,0.6202104810996564,0.5951724137931034,0.06016597510373444,29,482
bert-base-multilingual-cased,3,char,1,radical,0.4182765400419782,0.46337070546229625,0.3721945964173566,0.06454170631144941,68,6306
bert-base-multilingual-cased,3,char,1,semantic_field,0.5345227538529417,0.5954037800687286,0.5597701149425288,0.06016597510373444,29,482
bert-base-multilingual-cased,3,mean,0,radical,0.40872676665798424,0.4609916412275619,0.3674989116085808,0.06454170631144941,68,6306
bert-base-multilingual-cased,3,mean,0,semantic_field,0.5787125900919005,0.6222723367697595,0.5945977011494252,0.06016597510373444,29,482
