model,char,n_tokens,first_token,is_single,is_unk
mBERT,一,1,一,1,0
mBERT,丁,1,丁,1,0
mBERT,七,1,七,1,0
mBERT,万,1,万,1,0
mBERT,丈,1,丈,1,0
mBERT,三,1,三,1,0
mBERT,上,1,上,1,0
mBERT,下,1,下,1,0
mBERT,不,1,不,1,0
mBERT,与,1,与,1,0
mBERT,丐,1,丐,1,0
mBERT,丑,1,丑,1,0
mBERT,专,1,专,1,0
mBERT,且,1,且,1,0
mBERT,丕,1,丕,1,0
mBERT,世,1,世,1,0
mBERT,丘,1,丘,1,0
mBERT,丙,1,丙,1,0
mBERT,业,1,业,1,0
mBERT,丛,1,丛,1,0
mBERT,东,1,东,1,0
mBERT,丝,1,丝,1,0
mBERT,丞,1,丞,1,0
mBERT,丟,1,丟,1,0
mBERT,両,1,両,1,0
mBERT,丢,1,丢,1,0
mBERT,两,1,两,1,0
mBERT,严,1,严,1,0
mBERT,並,1,並,1,0
mBERT,丧,1,丧,1,0
mBERT,丽,1,丽,1,0
mBERT,人,1,人,1,0
mBERT,亿,1,亿,1,0
mBERT,什,1,什,1,0
mBERT,仁,1,仁,1,0
mBERT,仃,1,[UNK],0,1
mBERT,仄,1,仄,1,0
mBERT,仅,1,仅,1,0
mBERT,仆,1,仆,1,0
mBERT,仇,1,仇,1,0
mBERT,今,1,今,1,0
mBERT,介,1,介,1,0
mBERT,仍,1,仍,1,0
mBERT,从,1,从,1,0
mBERT,仏,1,仏,1,0
mBERT,仑,1,仑,1,0
mBERT,仓,1,仓,1,0
mBERT,仔,1,仔,1,0
mBERT,仕,1,仕,1,0
mBERT,他,1,他,1,0
mBERT,仗,1,仗,1,0
mBERT,付,1,付,1,0
mBERT,仙,1,仙,1,0
mBERT,仝,1,仝,1,0
mBERT,仞,1,[UNK],0,1
mBERT,仟,1,[UNK],0,1
mBERT,代,1,代,1,0
mBERT,令,1,令,1,0
mBERT,以,1,以,1,0
mBERT,仨,1,[UNK],0,1
mBERT,仪,1,仪,1,0
mBERT,们,1,们,1,0
mBERT,仮,1,仮,1,0
mBERT,仰,1,仰,1,0
mBERT,仲,1,仲,1,0
mBERT,件,1,件,1,0
mBERT,价,1,价,1,0
mBERT,任,1,任,1,0
mBERT,份,1,份,1,0
mBERT,仿,1,仿,1,0
mBERT,企,1,企,1,0
mBERT,伉,1,伉,1,0
mBERT,伊,1,伊,1,0
mBERT,伍,1,伍,1,0
mBERT,伎,1,伎,1,0
mBERT,伏,1,伏,1,0
mBERT,伐,1,伐,1,0
mBERT,休,1,休,1,0
mBERT,伕,1,[UNK],0,1
mBERT,众,1,众,1,0
mBERT,优,1,优,1,0
mBERT,伙,1,伙,1,0
mBERT,会,1,会,1,0
mBERT,伝,1,伝,1,0
mBERT,伞,1,伞,1,0
mBERT,伟,1,伟,1,0
mBERT,传,1,传,1,0
mBERT,伢,1,[UNK],0,1
mBERT,伤,1,伤,1,0
mBERT,伦,1,伦,1,0
mBERT,伪,1,伪,1,0
mBERT,伫,1,[UNK],0,1
mBERT,伯,1,伯,1,0
mBERT,估,1,估,1,0
mBERT,伴,1,伴,1,0
mBERT,伶,1,伶,1,0
